"country"	"sector"	"subsector"	"age"	"owned"	"private"	"social"	"occupied"	"vacant"	"sec_dwellings"	"U_wall"	"U_win"	"U_roof"	"U_floor"	"fec"	"ued"
"Austria"	"Residential sector"	"total"	"Before 1945"	0.8040326561921	0.382337207140299	0.219281633506936	1.19177777267488	0.165866876627042	0.0480068475374175	1.41181071388774	2.00565170698863	1.01773285020661	1.12927992881664	223.697418644406	185.100951994359
"Austria"	"Residential sector"	"total"	"1945 - 1969"	0.893272181670178	0.424772785689316	0.243619685910049	1.33236884966273	0.184276429085806	0.0450193745210089	1.4	2.63875979468429	0.792142517211758	1.39904738501321	243.003991232487	226.019005797652
"Austria"	"Residential sector"	"total"	"1970 - 1979"	0.496181468507732	0.235946432577103	0.135322218683927	0.744220889152858	0.102359114132714	0.0208701164831893	1.3227924516706	2.48033972175677	0.791867236298606	0.698951932008595	229.695944458257	198.244473016062
"Austria"	"Residential sector"	"total"	"1980 - 1989"	0.361582873366831	0.171941506216395	0.0986135109182265	0.54418735150902	0.0745922710791713	0.0133582679132605	0.880181947788824	1.95751788381458	0.516303379649257	0.518046800726501	195.959417245572	178.851720763275
"Austria"	"Residential sector"	"total"	"1990 - 1999"	0.42322641165136	0.201254517428619	0.115425384995825	0.633441260091875	0.0873089450609448	0.0191561089229834	0.35	1.29466213007861	0.286233893363888	0.374045049322852	174.59527769367	152.678634905212
"Austria"	"Residential sector"	"total"	"2000 - 2010"	0.235644723915298	0.112054833749932	0.0642667428859904	0.350205820879951	0.048612023465044	0.013148456206226	0.21825860940179	1.35287413768671	0.187138746270758	0.22489426476256	159.995565069105	146.598129109699
"Austria"	"Residential sector"	"total"	"Post 2010"	0.0750596846965017	0.0356927171983365	0.0204708230990459	0.110809359311783	0.0154843405492783	0.004929525132823	0.342360499967972	1.03832403347947	0.159255999829186	0.370186000042703	137.330012216348	121.288802761879
"Austria"	"Residential sector"	"single family- terraced houses"	"Before 1945"	0.4258505658045	0.202502366955986	0.116141063401227	0.65325698682817	0.0878502915470822	0.00338671778646107	1.34428571428571	2	1.1075	1.3	260.240918267573	217.474429516479
"Austria"	"Residential sector"	"single family- terraced houses"	"1945 - 1969"	0.54764164384353	0.260417005464056	0.149356811957326	0.840085135129507	0.11297502442926	0.0043553017061463	1.4	2.65	0.615	1.08	269.591195447653	255.23241612546
"Austria"	"Residential sector"	"single family- terraced houses"	"1970 - 1979"	0.340999183658057	0.162153457963272	0.0929997773612883	0.523094524499454	0.0703459854399489	0.00271190904321504	1.3	2.6	0.8	0.65	248.348990164752	215.973952050408
